3 1 1180 1955 221900
3 2.25 2570 1951 538000
2 1 770 1933 180000
4 3 1960 1965 604000
3 2 1680 1987 510000
4 4.5 5420 2001 1.225e+006
3 2.25 1715 1995 257500
3 1.5 1060 1963 291850
3 1 1780 1960 229500
3 2.5 1890 2003 323000
3 2.5 3560 1965 662500
2 1 1160 1942 468000
3 1 1430 1927 310000
3 1.75 1370 1977 400000
5 2 1810 1900 530000
4 3 2950 1979 650000
3 2 1890 1994 395000
4 1 1600 1916 485000
2 1 1200 1921 189000
3 1 1250 1969 230000
4 1.75 1620 1947 385000
3 2.75 3050 1968 2e+006
5 2.5 2270 1995 285000
2 1.5 1070 1985 252700
3 2.25 2450 1985 329000
3 2 1710 1941 233000
3 1.75 2450 1915 937000
3 1 1400 1909 667000
3 1.75 1520 1948 438000
4 2.5 2570 2005 719000
3 2.5 2320 2003 580500
2 1.5 1190 2005 280000
4 1.75 2330 1929 687500
3 1 1090 1929 535000
4 2.75 2060 1981 322500
3 2.5 2300 1930 696000
4 1 1660 1933 550000
4 2 2360 1904 640000
4 1 1220 1969 240000
4 2.5 2620 1996 605000
4 2.5 2570 2000 625000
4 2.25 4220 1984 775000
5 2.75 3595 2014 861990
3 1 1570 1922 685000
3 1 1280 1959 309000
3 2.5 3160 2003 488000
3 1 990 1966 210490
4 2.5 2290 1981 785000
3 1.75 1250 1953 450000
3 2.5 2753 1953 1.35e+006
3 1 1190 1955 228000
5 2.5 3150 1966 345000
3 1.75 1410 1950 600000
2 1.75 1980 1981 585000
5 2.25 2730 1927 920000
4 2.5 2830 1995 885000
4 2.5 2250 2008 292500
3 2.5 2420 2003 301000
5 3.25 3250 1968 951000
4 3 1850 1991 430000
3 2.25 2150 1959 650000
3 1.75 1260 1954 289000
3 1.75 2519 1973 505000
3 1.75 1540 2014 549000
3 2.25 1660 1979 425000
3 2.75 2770 1925 317625
4 2.5 2720 1989 975000
4 2.5 2240 2005 287000
3 1 1000 1968 204000
5 2.25 3200 1965 1.325e+006
5 3.25 4770 1973 1.04e+006
3 2 1260 1972 325000
4 2 2750 1916 571000
4 2.5 2380 2005 360000
3 1.75 1790 1965 349000
4 4 3430 1986 832500
4 1.75 1760 1956 380000
3 1 1040 1941 480000
3 1 1410 1956 410000
4 2.5 3450 2002 720000
3 2.5 2350 2003 390000
4 2.5 1900 1992 360000
2 1 2020 1948 355000
3 1.5 1680 1964 356000
3 1 960 1952 315000
3 1.5 2140 1925 940000
5 2.25 2660 1961 305000
3 3.25 2770 2006 461000
2 2.25 1610 1979 215000
2 1.75 1030 2006 335000
4 2.5 1980 1988 243500
5 2.75 3520 2001 1.09988e+006
3 1 1200 1962 153000
3 1.5 1580 1939 430000
3 1.5 1580 1939 700000
4 2.5 3300 1946 905000
3 1.75 1960 1967 247500
4 1.5 1160 1975 199000
3 1.75 1810 1980 314000
3 2.5 2320 1992 437500
3 2.5 2070 1910 850830
3 2 1980 1929 555000
3 2.25 2190 1983 699950
3 2.5 2920 1950 1.088e+006
3 1 1210 1954 290000
3 2.5 2340 1978 375000
3 1 1670 1939 460000
2 1.75 1240 1985 188500
4 2.5 3140 1991 680000
5 1.75 2030 1942 470000
4 2.5 2310 1984 597750
3 1.75 1260 1905 570000
3 1.75 1540 1980 272500
3 1.75 2080 1971 329950
4 2.5 3230 2001 480000
3 3.5 4380 1900 740500
3 3.5 1590 2010 518500
2 1 880 1945 205425
4 2 1570 1950 171800
4 1 1610 1925 535000
3 2.5 2400 1964 660000
3 2 1450 1987 391500
2 1 770 1953 395000
4 1.75 2100 1924 445000
3 2.25 2910 1990 770000
4 2.75 2750 1914 1.45e+006
3 2.25 2100 1967 445000
4 2.25 2160 1978 260000
5 3.5 2320 1926 822500
4 2.5 2070 2004 430000
3 1.75 1060 1986 212000
4 2.25 2010 1986 660500
3 3.5 3950 1989 784000
